1768348800000000,95413.99000000,95467.90000000,95388.00000000,95450.43000000,18.27644000,1768348859999999,1744149.75970390,7484,8.82296000,841901.71596400,0
1768348860000000,95450.42000000,95502.41000000,95432.71000000,95476.22000000,15.52718000,1768348919999999,1482447.34738840,5920,12.11437000,1156632.96645300,0
1768348920000000,95476.21000000,95500.00000000,95406.18000000,95406.20000000,11.79212000,1768348979999999,1125529.92048220,7175,6.88331000,656964.99267310,0
1768348980000000,95406.20000000,95472.10000000,95406.20000000,95470.71000000,8.47063000,1768349039999999,808490.92004640,3921,4.12387000,393579.87804020,0
1768349040000000,95470.72000000,95470.72000000,95383.22000000,95460.63000000,11.13236000,1768349099999999,1062266.71353330,7376,4.12286000,393398.27800890,0
1768349100000000,95460.62000000,95469.56000000,95376.60000000,95386.96000000,10.98449000,1768349159999999,1048275.32512340,4730,4.15349000,396346.58588570,0
1768349160000000,95386.96000000,95476.40000000,95363.86000000,95476.39000000,33.59260000,1768349219999999,3204290.22124100,7048,6.95205000,663248.21147230,0
1768349220000000,95476.39000000,95486.13000000,95430.71000000,95473.98000000,12.08564000,1768349279999999,1153731.89032740,4410,5.93464000,566572.73541130,0
1768349280000000,95473.98000000,95584.78000000,95470.94000000,95584.78000000,22.58977000,1768349339999999,2158405.21980590,5641,19.49619000,1862871.15540170,0
1768349340000000,95584.78000000,95600.00000000,95544.05000000,95588.05000000,20.29109000,1768349399999999,1939256.74981070,3959,13.69266000,1308595.72738480,0
1768349400000000,95588.05000000,95647.91000000,95465.14000000,95465.15000000,26.10672000,1768349459999999,2495200.37913770,6839,9.35508000,894224.87846660,0
1768349460000000,95465.15000000,95491.35000000,95440.00000000,95467.99000000,16.70025000,1768349519999999,1594164.14068170,3741,3.78069000,360885.92383960,0
1768349520000000,95467.99000000,95587.00000000,95463.31000000,95558.00000000,15.07494000,1768349579999999,1440264.94172660,5156,9.38592000,896810.85322500,0
1768349580000000,95558.01000000,95572.60000000,95504.12000000,95532.44000000,4.13842000,1768349639999999,395387.54123460,2656,1.26829000,121169.36802870,0
1768349640000000,95532.44000000,95533.77000000,95484.54000000,95503.27000000,13.38071000,1768349699999999,1277946.64604280,2398,7.04597000,672906.51944610,0
1768349700000000,95503.28000000,95618.01000000,95503.27000000,95558.00000000,16.29595000,1768349759999999,1557140.06375780,6256,11.03216000,1054093.55839460,0
1768349760000000,95558.00000000,95558.00000000,95467.89000000,95486.70000000,7.72474000,1768349819999999,737876.93811840,3685,2.26258000,216100.16357810,0
1768349820000000,95486.70000000,95534.78000000,95446.99000000,95530.26000000,12.67323000,1768349879999999,1210235.92999090,5814,7.30800000,697884.00632600,0
1768349880000000,95530.25000000,95572.69000000,95509.54000000,95558.32000000,10.93621000,1768349939999999,1044856.88193940,6673,5.16871000,493809.00145490,0
1768349940000000,95558.31000000,95558.32000000,95494.00000000,95499.99000000,6.78952000,1768349999999999,648562.73989260,2971,1.99972000,190976.79713060,0
1768350000000000,95500.00000000,95570.51000000,95496.94000000,95570.42000000,5.62859000,1768350059999999,537659.98237360,3349,3.99783000,381912.95996210,0
1768350060000000,95570.43000000,95619.53000000,95559.29000000,95592.56000000,10.23032000,1768350119999999,977929.95743740,3825,7.58753000,725294.33976520,0
1768350120000000,95592.56000000,95592.56000000,95546.34000000,95546.35000000,4.96016000,1768350179999999,474022.76093410,1482,0.43380000,41453.55889680,0
1768350180000000,95546.35000000,95546.35000000,95535.15000000,95535.16000000,4.23467000,1768350239999999,404577.38760520,690,1.84587000,176346.67752420,0
1768350240000000,95535.15000000,95535.16000000,95487.84000000,95495.12000000,10.23112000,1768350299999999,977154.55128510,3010,2.50674000,239419.17982870,0
1768350300000000,95495.11000000,95529.02000000,95495.11000000,95506.37000000,7.57478000,1768350359999999,723432.36372850,1606,5.13663000,490558.11772610,0
1768350360000000,95506.36000000,95518.87000000,95475.91000000,95482.85000000,7.28723000,1768350419999999,695959.95001160,2324,3.34053000,319041.18796030,0
1768350420000000,95482.85000000,95500.01000000,95468.03000000,95500.01000000,5.74419000,1768350479999999,548425.70189840,1935,2.93600000,280321.34732680,0
1768350480000000,95500.00000000,95500.01000000,95445.34000000,95467.18000000,12.49894000,1768350539999999,1193425.28868790,2491,5.39726000,515374.80718810,0
1768350540000000,95467.17000000,95481.01000000,95462.32000000,95466.43000000,14.12148000,1768350599999999,1348161.12720760,1473,4.40022000,420068.07901080,0
1768350600000000,95466.43000000,95466.44000000,95416.35000000,95428.94000000,9.70092000,1768350659999999,925762.23237930,3253,2.31130000,220544.60840340,0
1768350660000000,95428.95000000,95452.28000000,95416.39000000,95416.40000000,6.16193000,1768350719999999,588077.56418200,3521,2.80238000,267454.98099680,0
1768350720000000,95416.40000000,95419.90000000,95376.00000000,95376.00000000,11.53122000,1768350779999999,1100143.63430090,1950,2.08732000,199122.84371080,0
1768350780000000,95376.00000000,95376.01000000,95342.80000000,95342.80000000,11.76117000,1768350839999999,1121468.02614740,1988,5.45062000,519719.60059560,0
1768350840000000,95342.80000000,95362.79000000,95322.11000000,95322.11000000,7.51828000,1768350899999999,716835.85431290,2849,1.99721000,190429.10206050,0
1768350900000000,95322.11000000,95322.11000000,95189.84000000,95189.85000000,24.56093000,1768350959999999,2339513.10343530,5439,2.22116000,211639.70993690,0
1768350960000000,95189.84000000,95200.00000000,95154.04000000,95185.33000000,31.62218000,1768351019999999,3009623.28383810,6406,8.84241000,841542.14850910,0
1768351020000000,95185.33000000,95237.09000000,95183.38000000,95237.09000000,10.86413000,1768351079999999,1034306.87516040,4504,6.76903000,644439.23141730,0
